Year,Round,Game,Away,Away Score,Home Field-A,Away State,LP-A
2019,round20,0Game9,Western Bulldogs,80,Docklands,VIC,9
2019,round21,1Game1,Hawthorn,85,MCG,VIC,12
2019,round21,1Game2,Collingwood,70,MCG,VIC,6
2019,round21,1Game3,Sydney,56,SCG,NSW,15
2019,round21,1Game4,Gold Coast,53,Metricon,QLD,18
2019,round21,1Game5,Western Bulldogs,137,Docklands,VIC,10
2019,round21,1Game6,North Melbourne,14,Docklands,VIC,13
2019,round21,1Game7,Fremantle,69,Perth Stadium,WA,11
2019,round21,1Game8,Carlton,45,Docklands,VIC,16
2019,round21,1Game9,Adelaide,80,Adelaide Oval,SA,8
2019,round22,2Game1,Sydney,95,SCG,NSW,15
2019,round22,2Game2,St. Kilda,68,Docklands,VIC,13
2019,round22,2Game3,Geelong,74,Kardinia Park,VIC,1
2019,round22,2Game4,Collingwood,114,MCG,VIC,5
2019,round22,2Game5,Port Adelaide,58,Adelaide Oval,SA,8
2019,round22,2Game6,Essendon,87,Docklands,VIC,7
2019,round22,2Game7,West Coast,82,Perth Stadium,WA,3
2019,round22,2Game8,Western Bulldogs,126,Docklands,VIC,10
2019,round22,2Game9,Gold Coast,48,Metricon,QLD,18
2019,round23,3Game1,Essendon,65,Docklands,VIC,7
2019,round23,3Game2,St. Kilda,64,Docklands,VIC,14
2019,round23,3Game3,Melbourne,83,MCG,VIC,17
2019,round23,3Game4,Carlton,61,Docklands,VIC,16
2019,round23,3Game5,Greater Western Sydney,127,Sydney Showground,NSW,6
2019,round23,3Game6,Hawthorn,105,MCG,VIC,9
2019,round23,3Game7,Adelaide,87,Adelaide Oval,SA,10
2019,round23,3Game8,Brisbane,55,Gabba,QLD,1
2019,round23,3Game9,Fremantle,67,Perth Stadium,WA,13
2018,round1,Game1,Carlton,95,Docklands,VIC,16
2018,round1,Game2,Adelaide,87,Adelaide Oval,SA,1
2018,round1,Game3,Brisbane,82,Gabba,QLD,18
2018,round1,Game4,Fremantle,60,Perth Stadium,WA,14
2018,round1,Game5,North Melbourne,39,Docklands,VIC,15
2018,round1,Game6,Collingwood,67,MCG,VIC,13
2018,round1,Game7,Western Bulldogs,51,Docklands,VIC,10
2018,round1,Game8,Geelong,97,Kardinia Park,VIC,2
2018,round1,Game9,Sydney,115,SCG,NSW,6
2018,round2,Game1,Richmond,82,MCG,VIC,7
2018,round2,Game2,St. Kilda,43,Docklands,VIC,6
2018,round2,Game3,Gold Coast,101,Metricon,QLD,4
2018,round2,Game4,Greater Western Sydney,95,Sydney Showground,NSW,1
2018,round2,Game5,Melbourne,100,MCG,VIC,10
2018,round2,Game6,Essendon,90,Docklands,VIC,8
2018,round2,Game7,West Coast,121,Perth Stadium,WA,14
2018,round2,Game8,Port Adelaide,94,Adelaide Oval,SA,2
2018,round2,Game9,Hawthorn,118,MCG,VIC,3
2018,round3,Game1,Collingwood,100,MCG,VIC,16
2018,round3,Game2,Brisbane,92,Gabba,QLD,15
2018,round3,Game3,North Melbourne,86,Docklands,VIC,5
2018,round3,Game4,Fremantle,96,Perth Stadium,WA,14
2018,round3,Game5,Greater Western Sydney,87,Sydney Showground,NSW,1
2018,round3,Game6,Adelaide,104,Adelaide Oval,SA,7
2018,round3,Game7,Hawthorn,89,MCG,VIC,4
2018,round3,Game8,Essendon,83,Docklands,VIC,11
2018,round3,Game9,Geelong,80,Kardinia Park,VIC,10
2018,round4,Game1,Collingwood,106,MCG,VIC,14
2018,round4,Game2,Fremantle,51,Perth Stadium,WA,10
2018,round4,Game3,Brisbane,17,Gabba,QLD,17
2018,round4,Game4,Sydney,86,SCG,NSW,7
2018,round4,Game5,Carlton,30,Docklands,VIC,18
2018,round4,Game6,Gold Coast,59,Metricon,QLD,6
2018,round4,Game7,Port Adelaide,84,Adelaide Oval,SA,1
2018,round4,Game8,Melbourne,48,MCG,VIC,4
